numCircles,isParallel,AoS,nthreads,time
500,1,1,2,2.94572
500,1,1,4,1.86653
500,1,1,6,1.3623
500,1,1,8,1.05684
500,1,1,10,0.89192
500,1,1,12,0.789757
500,1,1,14,0.707227
500,1,1,16,0.67535
500,1,1,18,0.739027
500,1,1,20,0.725824
1000,1,1,2,6.06935
1000,1,1,4,3.63066
1000,1,1,6,2.69827
1000,1,1,8,2.14924
1000,1,1,10,1.78393
1000,1,1,12,1.59598
1000,1,1,14,1.43189
1000,1,1,16,1.51114
1000,1,1,18,1.55534
1000,1,1,20,1.50735
2000,1,1,2,13.6833
2000,1,1,4,7.6241
2000,1,1,6,5.47369
2000,1,1,8,4.15889
2000,1,1,10,3.46985
2000,1,1,12,3.07029
2000,1,1,14,2.77781
2000,1,1,16,2.61051
2000,1,1,18,2.75347
2000,1,1,20,2.77685
500,1,0,2,2.99019
500,1,0,4,1.70725
500,1,0,6,1.28657
500,1,0,8,1.01331
500,1,0,10,0.849343
500,1,0,12,0.717265
500,1,0,14,0.647221
500,1,0,16,0.593417
500,1,0,18,0.689446
500,1,0,20,0.671581
1000,1,0,2,6.24856
1000,1,0,4,3.74419
1000,1,0,6,2.60183
1000,1,0,8,2.01786
1000,1,0,10,1.68974
1000,1,0,12,1.4508
1000,1,0,14,1.31566
1000,1,0,16,1.37826
1000,1,0,18,1.42352
1000,1,0,20,1.36721
2000,1,0,2,12.9918
2000,1,0,4,7.03252
2000,1,0,6,5.12608
2000,1,0,8,4.03069
2000,1,0,10,3.35036
2000,1,0,12,2.91208
2000,1,0,14,2.63796
2000,1,0,16,2.4774
2000,1,0,18,2.63028
2000,1,0,20,2.62097
