numCircles,isParallel,AoS,nthreads,time
500,1,1,2,1.99882
500,1,1,4,1.11725
500,1,1,6,0.787325
500,1,1,8,0.632515
500,1,1,10,0.530755
500,1,1,12,0.497688
500,1,1,14,0.452925
500,1,1,16,0.436342
500,1,1,18,0.477255
500,1,1,20,0.456699
1000,1,1,2,3.90494
1000,1,1,4,2.27463
1000,1,1,6,1.60321
1000,1,1,8,1.27666
1000,1,1,10,1.09172
1000,1,1,12,0.973776
1000,1,1,14,0.889577
1000,1,1,16,0.836556
1000,1,1,18,0.946952
1000,1,1,20,0.923466
2000,1,1,2,7.93121
2000,1,1,4,4.45636
2000,1,1,6,3.19305
2000,1,1,8,2.5247
2000,1,1,10,2.17975
2000,1,1,12,1.95573
2000,1,1,14,1.76858
2000,1,1,16,1.72546
2000,1,1,18,1.84293
2000,1,1,20,1.81602
500,1,0,2,2.74391
500,1,0,4,1.55668
500,1,0,6,1.12402
500,1,0,8,0.89121
500,1,0,10,0.760135
500,1,0,12,0.687648
500,1,0,14,0.63817
500,1,0,16,0.634393
500,1,0,18,0.680301
500,1,0,20,0.655191
1000,1,0,2,5.32043
1000,1,0,4,3.20602
1000,1,0,6,2.29256
1000,1,0,8,1.79069
1000,1,0,10,1.52759
1000,1,0,12,1.38245
1000,1,0,14,1.2655
1000,1,0,16,1.22224
1000,1,0,18,1.32627
1000,1,0,20,1.29474
2000,1,0,2,11.0552
2000,1,0,4,6.36125
2000,1,0,6,4.50253
2000,1,0,8,3.63357
2000,1,0,10,3.13521
2000,1,0,12,2.77415
2000,1,0,14,2.5671
2000,1,0,16,2.43934
2000,1,0,18,2.58998
2000,1,0,20,2.60671
